case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold
synth_urgent_207,"Hi, I need to report an emergency. I can hear yelling and things breaking in the apartment next door. It sounds like a bad fight. I don't think weapons are involved.",synthetic_v1,crime,URGENT,0
synth_non_urgent_169,"Hey, I'm calling about a non-emergency situation. There's a dog barking non-stop at a grocery store. It's been going on for about an hour. The owner doesn't seem to be home. Thanks.",synthetic_v1,other,NON_URGENT,0
synth_non_urgent_25,"Hi, this is not an emergency but My 56 year old female child has a low grade fever, about 100 degrees. They seem okay otherwise. Should I take them to the ER?",synthetic_v1,medical,NON_URGENT,0
synth_non_urgent_61,"Hi, this is not an emergency but Hi, there's some graffiti on the wall of our building at a laundromat. I'd like to file a report.",synthetic_v1,crime,NON_URGENT,0
synth_urgent_112,"Hi, I need to report an emergency. My 71 year old diabetic male is feeling very dizzy and shaky. Their blood sugar might be low. They're conscious. Thank you.",synthetic_v1,medical,URGENT,0
synth_non_urgent_151,"Hey, I'm calling about a non-emergency situation. There's a dog barking non-stop at an office building. It's been going on for about 5 minutes. The owner doesn't seem to be home.",synthetic_v1,other,NON_URGENT,0
synth_non_urgent_72,"Hello, I'm calling about fireworks in the neighborhood. People are setting them off at a laundromat and it's not a holiday. Thank you for your help.",synthetic_v1,other,NON_URGENT,0
synth_non_urgent_54,"Hi, this is not an emergency but I'd like to report my car was scratched in the parking lot in an apartment building. Nobody was hurt, I just want to file a report. No rush, just wanted to let you know.",synthetic_v1,crime,NON_URGENT,0
synth_urgent_72,A car hit a pedestrian on the highway. The person is sitting up and talking but their leg looks injured. They can't walk.,synthetic_v1,medical,URGENT,0
synth_urgent_202,911 what is your emergency? I found my male friend passed out at a church. I think they might have taken some pills. They're breathing but I can't wake them up. Thank you.,synthetic_v1,medical,URGENT,1
synth_urgent_35,"Hello, we need help. I just saw someone shoplifting at the store at a park. They ran out with merchandise. Heading north on foot. How long will it take?",synthetic_v1,crime,URGENT,0
synth_non_urgent_208,"Hello, I'd like to report something. Hi, there's some graffiti on the wall of our building at a restaurant. I'd like to file a report. No rush, just wanted to let you know.",synthetic_v1,crime,NON_URGENT,0
synth_non_urgent_206,"Is this the non-emergency line? Anyway, I'd like to report my car was scratched in the parking lot at a laundromat. Nobody was hurt, I just want to file a report. Thank you for your help.",synthetic_v1,crime,NON_URGENT,0
synth_critical_13,Somebody call an ambulance! There's a domestic violence situation and he has a knife! My neighbor is screaming! I can hear her begging! Send somebody fast!,synthetic_v1,crime,CRITICAL,1
synth_non_urgent_140,My mailbox was damaged overnight. Looks like somebody hit it with their car. No one is hurt. Thanks.,synthetic_v1,other,NON_URGENT,0
synth_critical_14,Help us! There's a domestic violence situation and he has a knife! My neighbor is screaming! I can hear her begging! How long until someone gets here?,synthetic_v1,crime,CRITICAL,1
synth_non_urgent_243,"Hello, I'd like to report something. I want to report a lost dog. It's a golden retriever, no collar, wandering around at the shopping mall. Thank you for your help.",synthetic_v1,other,NON_URGENT,0
synth_critical_22,911 what is your emergency? A child fell from the second floor window! They're on the ground not moving! There's blood! at a gym! Please hurry!,synthetic_v1,medical,CRITICAL,1
synth_urgent_64,"911 what is your emergency? I think my male friend is having a seizure. They're on the ground shaking at a grocery store. This has happened before, they have epilepsy. Thank you.",synthetic_v1,medical,URGENT,1
synth_non_urgent_2,"I see some people taking pictures of houses in our neighborhood. They might be realtors but I wanted to report it. No rush, just wanted to let you know.",synthetic_v1,other,NON_URGENT,0
synth_urgent_87,Can you send someone? A coworker is having a severe allergic reaction at a restaurant. Their face is swelling up. They used their epipen already. How long will it take?,synthetic_v1,medical,URGENT,1
synth_urgent_106,"911 what is your emergency? I think my male friend is having a seizure. They're on the ground shaking at a movie theater. This has happened before, they have epilepsy. Please send someone soon.",synthetic_v1,medical,URGENT,1
synth_non_urgent_141,"Is this the non-emergency line? Anyway, I found an open door at the business next to mine. The owner might have left it open. No signs of break in.",synthetic_v1,other,NON_URGENT,0
synth_non_urgent_152,"Hey, I'm calling about a non-emergency situation. I see some people taking pictures of houses in our neighborhood. They might be realtors but I wanted to report it.",synthetic_v1,other,NON_URGENT,0
synth_urgent_116,"Hello, we need help. There's a small fire in a dumpster at a warehouse. It hasn't spread but there's a lot of smoke. Thank you.",synthetic_v1,fire,URGENT,0
synth_non_urgent_99,"Hi, this is not an emergency but There's a traffic light that's not working at the intersection at a train station. It's blinking red. Thanks.",synthetic_v1,other,NON_URGENT,0
synth_non_urgent_147,I twisted my ankle at a school this morning. I can still walk on it but it's swelling up. Do I need an ambulance? Thanks.,synthetic_v1,medical,NON_URGENT,0
synth_non_urgent_160,"Hey, I'm calling about a non-emergency situation. I'm calling back to let you know the situation is resolved. My neighbor and I worked things out. No need to send anyone. Thanks.",synthetic_v1,other,NON_URGENT,0
synth_urgent_177,"Hello, we need help. I can hear yelling and things breaking in the apartment next door. It sounds like a bad fight. I don't think weapons are involved.",synthetic_v1,crime,URGENT,0
synth_critical_11,Someone is bleeding out at a construction site! They cut their arm on broken glass and blood is everywhere! It won't stop! We need help now!,synthetic_v1,medical,CRITICAL,1
synth_non_urgent_3,"Hello, I'd like to report something. Someone knocked over the stop sign at the corner at a daycare center. It's lying on the ground.",synthetic_v1,other,NON_URGENT,0
synth_urgent_51,I can hear yelling and things breaking in the apartment next door. It sounds like a bad fight. I don't think weapons are involved. Please send someone soon.,synthetic_v1,crime,URGENT,0
synth_urgent_243,"Hello, we need help. A car went off the road and hit a tree in a parking lot. The driver is trapped but conscious and talking to us. Thank you.",synthetic_v1,medical,URGENT,0
synth_urgent_99,911 what is your emergency? There's smoke coming from under the hood of a car at a nursing home. No flames yet but it's getting thicker. Thank you.,synthetic_v1,fire,URGENT,0
synth_non_urgent_219,"Yeah, there's a party going on next door and it's really loud. They've been at it for about 15 minutes. I've asked them to keep it down but they won't. Address is at a construction site. Thanks.",synthetic_v1,other,NON_URGENT,0
synth_critical_84,911 what is your emergency? There's a 41 year old who got electrocuted at a construction site! They're unconscious and not moving! How long until someone gets here?,synthetic_v1,medical,CRITICAL,1
synth_urgent_53,"Hello, we need help. I smell gas in my apartment building. It's strong. No flames but the smell is really bad. Please send someone soon.",synthetic_v1,fire,URGENT,1
synth_non_urgent_86,"Is this the non-emergency line? Anyway, Someone left a backpack on the park bench at the shopping mall. It's been there for a while. Probably just lost property. Thank you for your help.",synthetic_v1,other,NON_URGENT,0
synth_critical_62,Oh my God! A construction worker fell from the scaffolding! Maybe 20 feet! They're unconscious on the ground!,synthetic_v1,medical,CRITICAL,1
synth_urgent_71,"Hi, I need to report an emergency. I smell gas in my apartment building. It's strong. No flames but the smell is really bad. Thank you.",synthetic_v1,fire,URGENT,1
synth_critical_78,Please help! A construction worker fell from the scaffolding! Maybe 20 feet! They're unconscious on the ground! We need help now!,synthetic_v1,medical,CRITICAL,1
synth_urgent_187,"There's been a car accident at a church. Two cars involved. People are out of the vehicles, I think there are some injuries but everyone is conscious. Please send someone soon.",synthetic_v1,crime,URGENT,0
synth_urgent_21,Can you send someone? I think someone is trying to break into my neighbor's house at a school right now. I can see them at the back door.,synthetic_v1,crime,URGENT,0
synth_non_urgent_30,"Hi, this is not an emergency but My mailbox was damaged overnight. Looks like somebody hit it with their car. No one is hurt. Thank you for your help.",synthetic_v1,other,NON_URGENT,0
synth_urgent_221,Can you send someone? I just saw someone shoplifting at the store at a construction site. They ran out with merchandise. Heading north on foot. Thank you.,synthetic_v1,crime,URGENT,0
synth_non_urgent_204,"Hello, I'd like to report something. I'd like to know if there's a warrant out for a traffic ticket I got. Can you help? No rush, just wanted to let you know.",synthetic_v1,other,NON_URGENT,0
