case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold
fire_nu_tr_0099,"Yangin alarmi yanlislikla calisiyor, hassas galiba. Yanginciyi aramali miyim?",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_en_0262,"A bit of oil dripped on the stove, I put the lid on. All fine now.",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0161,Evimizin balkonunda mangal dumani var. Komsuyu haberdar ettim. Alev yok.,fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_en_0181,"BBQ smoke from our balcony, I warned the neighbors. No flames.",fire_synthetic_v1,fire,NON_URGENT,0
fire_cr_en_0046,Big fire in the building! I can't breathe! Stairs are blocked!,fire_synthetic_v1,fire,CRITICAL,1
fire_ur_tr_0099,"Alt katta mutfak yangini oldu duyuyoruz, belediye arandi mi bilmem. Durum stabil.",fire_synthetic_v1,fire,URGENT,0
fire_nu_tr_0243,Yangin detektoru kendi kendine calisti ama hicbir sey yok. Pil bitti galiba.,fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0163,Yangin detektoru kendi kendine calisti ama hicbir sey yok. Pil bitti galiba. Durum stabil.,fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0174,"Cocugum cakmak oyuncagi ile oynamis, cakmak yok ama kokusu bir an geldi.",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0288,"Ocakta ekmek kizarttim biraz fazla yandi, kokusu kaldi. Kapi pencere actim.",fire_synthetic_v1,fire,NON_URGENT,0
fire_ur_tr_0182,"Prizden kivilcim cikti, duman var hafif. Sigortayi kapattim ama endiseliyim. Kontrol altinda sanirim.",fire_synthetic_v1,fire,URGENT,0
fire_nu_en_0156,Neighbor's washing machine motor smells a bit. I didn't call.,fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0213,"Arkadasim sonucta bir mum yakti yanimda, akladi ama temizledim. Alev yok.",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0045,"Soba dumani cok, bacayi bir yil oncesinden temizletmemistim. Tehlike yok simdi.",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0098,"Klimam biraz cizirdadi, elektrik kesildi hemen kapandi. Yangin yok. Panik etmiyorum.",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_tr_0093,"Arkadasim sonucta bir mum yakti yanimda, akladi ama temizledim. Alev yok.",fire_synthetic_v1,fire,NON_URGENT,0
fire_nu_en_0263,"Fire alarm went off on its own, nothing here. Probably dead battery.",fire_synthetic_v1,fire,NON_URGENT,0
fire_ur_tr_0159,"Alt katta mutfak yangini oldu duyuyoruz, belediye arandi mi bilmem. Durum stabil.",fire_synthetic_v1,fire,URGENT,0
fire_nu_en_0078,"AC made a zapping sound, electricity cut off on its own. No fire.",fire_synthetic_v1,fire,NON_URGENT,0
fire_ur_tr_0009,"Alt katta mutfak yangini oldu duyuyoruz, belediye arandi mi bilmem.",fire_synthetic_v1,fire,URGENT,0
fire_nu_en_0061,"BBQ smoke from our balcony, I warned the neighbors. No flames. Not urgent.",fire_synthetic_v1,fire,NON_URGENT,0
