case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold,input_quality
oos_tr_0249,"Bankamatik nerde, en yakin sube?",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0094,Cocugumun dogum gununu nerde kutlayabilirim?,nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_en_0158,"Can't decide if this is police or ambulance, wrong caller probably.",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0164,Otel rezervasyonu icin mi buradasiniz?,nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0246,Eczane nobetcisi kim bu gece?,nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_en_0228,"My parcel didn't arrive, no tracking number.",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_en_0190,"My watch stopped, can you tell me the correct time?",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0122,Internet faturami nasil odeyebilirim?,nonsense_v1,other,NON_URGENT,0,out_of_scope
gib_tr_0007,ay ay ay hahaha,nonsense_v1,other,NON_URGENT,0,gibberish
gib_tr_0042,denendi bye bye,nonsense_v1,other,NON_URGENT,0,gibberish
oos_en_0192,The courier company gave me this number.,nonsense_v1,other,NON_URGENT,0,out_of_scope
gib_en_0055,testing testing,nonsense_v1,other,NON_URGENT,0,gibberish
oos_en_0038,"Can't decide if this is police or ambulance, wrong caller probably.",nonsense_v1,other,NON_URGENT,0,out_of_scope
gib_en_0088,uhh umm um,nonsense_v1,other,NON_URGENT,0,gibberish
gib_tr_0097,ay ay ay hahaha,nonsense_v1,other,NON_URGENT,0,gibberish
gib_en_0114,lol lol prank prank bye,nonsense_v1,other,NON_URGENT,0,gibberish
oos_tr_0043,Yarin hava nasil olacak Istanbul'da?,nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0217,"Annemle tartistim ne yapayim, danisman mi var?",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0099,Sinav sorulari hakkinda bilgi alabilir miyim?,nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0053,Doviz kuru ne anda dolar?,nonsense_v1,other,NON_URGENT,0,out_of_scope
gib_en_0021,jkshak djs ak,nonsense_v1,other,NON_URGENT,0,gibberish
oos_tr_0169,"Bankamatik nerde, en yakin sube?",nonsense_v1,other,NON_URGENT,0,out_of_scope
gib_tr_0001,ne dedin anlamadim konus iyice,nonsense_v1,other,NON_URGENT,0,gibberish
oos_en_0077,"I argued with my mom, is there a counselor?",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0009,"Bankamatik nerde, en yakin sube?",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_en_0068,"My parcel didn't arrive, no tracking number.",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_en_0198,"Can't decide if this is police or ambulance, wrong caller probably.",nonsense_v1,other,NON_URGENT,0,out_of_scope
oos_tr_0002,Internet faturami nasil odeyebilirim?,nonsense_v1,other,NON_URGENT,0,out_of_scope
gib_en_0117,nothing really just checking,nonsense_v1,other,NON_URGENT,0,gibberish
gib_tr_0122,blabla blabla bip bip,nonsense_v1,other,NON_URGENT,0,gibberish
gib_tr_0009,ofof off off ne oldu,nonsense_v1,other,NON_URGENT,0,gibberish
gib_tr_0003,haha ses test 1 2 3,nonsense_v1,other,NON_URGENT,0,gibberish
oos_tr_0244,Otel rezervasyonu icin mi buradasiniz?,nonsense_v1,other,NON_URGENT,0,out_of_scope
