case_id,text,source,label_triage,red_flags_gold,target_panic_score
TR_CRIT_00001,Kan var! Babam fenalaştı! Lütfen şimdi!,synthetic_tr_final,CRITICAL,1,0.82
TR_CRIT_00002,Aciiiiil! Ölüyorummmmm!,synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00003,Yardım Yardım Yardım! Bilincini kaybetti!,synthetic_tr_final,CRITICAL,1,0.79
TR_CRIT_00004,Yaşlı bir adam fenalaştı ve nefes almıyor! Çabuk gelin!,synthetic_tr_final,CRITICAL,1,0.8
TR_CRIT_00005,Aciiiiil! Ölüyorummmmm!,synthetic_tr_final,CRITICAL,1,0.73
TR_URG_00001,Önümde biri yere düştü. Kalkamıyor ve çok acıyor diyor.,synthetic_tr_final,URGENT,0,0.64
TR_URG_00002,"Biri yere dustu, başını çarptı ve sersemledi.",synthetic_tr_final,URGENT,0,0.51
TR_URG_00003,"merhaba, kolumun üstüne düştüm, çok acıyor ama kanama yok",synthetic_tr_final,URGENT,0,0.64
TR_URG_00004,Bir kişi baygın gibi oldu ama şimdi gözünü açtı.,synthetic_tr_final,URGENT,0,0.5
TR_CRIT_00006,Biri vuruldu! Çok kanıyor! Ambulans gönderin!,synthetic_tr_final,CRITICAL,1,0.71
TR_MON_00001,Ufak çizik aldım. Yüzeysel gibi görünüyor.,synthetic_tr_final,NON_URGENT,0,0.36
TR_URG_00005,Arkadaşım kolunu kırdı. Kan fışkırıyor. Hemen gelmesini istiyorum.,synthetic_tr_final,URGENT,0,0.47
TR_CRIT_00007,Hemen hemen hemen! Çabuk çabuk!,synthetic_tr_final,CRITICAL,1,0.67
TR_URG_00006,Eşim kolunu kırdı. Kan fışkırıyor. Hemen gelmesini istiyorum.,synthetic_tr_final,URGENT,0,0.49
TR_URG_00007,göğüs ağrısı var. hava almakta zorluk çekiyorum.,synthetic_tr_final,URGENT,0,0.47
TR_URG_00008,Kardeşim travma geçirdi. Kanama azaldı ama ağrısı sürüyor.,synthetic_tr_final,URGENT,0,0.62
TR_URG_00009,Nefes darlığı var. Konuşurken zorlanıyor.,synthetic_tr_final,URGENT,0,0.54
TR_CRIT_00008,Kalp atışım çok hızlı! nefes alamıyor! Yardım!,synthetic_tr_final,CRITICAL,1,0.66
TR_MON_00002,Ayağımı biraz burktum. Üstüne basabiliyorum.,synthetic_tr_final,NON_URGENT,0,0.17
TR_URG_00010,"Ateş var, 38 derece. Nefes alırken çok acıyor.",synthetic_tr_final,URGENT,0,0.61
TR_CRIT_00009,"Alo, yardım yardım yardım! Acil acil acil!",synthetic_tr_final,CRITICAL,1,0.73
TR_URG_00011,"Lütfen, önümde biri yere düştü. Kalkamıyor ve çok acıyor diyor.",synthetic_tr_final,URGENT,0,0.56
TR_CRIT_00010,Nefes darlığı çok arttı! Yığıldım! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.78
TR_CRIT_00011,Göğsüm çok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.72
TR_CRIT_00012,Göğsüm çok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.68
TR_URG_00012,biri yere düştü başını çarptı ve sersemledi,synthetic_tr_final,URGENT,0,0.63
TR_CRIT_00013,"Lütfen, kaaaaan! Çoooook kan!",synthetic_tr_final,CRITICAL,1,0.81
TR_CRIT_00014,Kaaaaan! Çoooook kan!,synthetic_tr_final,CRITICAL,1,0.71
TR_CRIT_00015,Yaaaardım! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.73
TR_URG_00013,Arkadaşım başını vurdu. Hareket etmekte zor nefes alıyor.,synthetic_tr_final,URGENT,0,0.6
TR_CRIT_00016,Yaaaardım! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.76
TR_URG_00014,Arkadaşım başını vurdu. Hareket etmekte hareket edemiyor.,synthetic_tr_final,URGENT,0,0.5
TR_URG_00015,Bir kişi baygın gibi oldu ama şimdi gözünü açtı.,synthetic_tr_final,URGENT,0,0.52
TR_CRIT_00017,kan var! yaşlı bir adam bıçaklandı! lütfen acil!,synthetic_tr_final,CRITICAL,1,0.78
TR_URG_00016,"Merhaba, komşum sert düştü. Hareket etmekte hareket edemiyor.",synthetic_tr_final,URGENT,0,0.44
TR_MON_00003,Hafif öksürük var. Dinlenince geçebilir.,synthetic_tr_final,NON_URGENT,0,0.22
TR_URG_00017,"Biri yere düştü, başını çarptı ve sersemledi.",synthetic_tr_final,URGENT,0,0.5
TR_URG_00018,Nefes darlığı var. Konuşurken zorlanıyor.,synthetic_tr_final,URGENT,0,0.49
TR_CRIT_00018,Yaşlı bir kadın kan kusuyor! Çok kötü durumda! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.78
TR_MON_00004,Derimde kızarıklık var. Kaşıntılı ama ağrısız.,synthetic_tr_final,NON_URGENT,0,0.21
TR_CRIT_00019,Kan var! Arkadaşım yere düştü! Lütfen acil!,synthetic_tr_final,CRITICAL,1,0.71
TR_CRIT_00020,Aciiiiil! Ölüyorummmmm!,synthetic_tr_final,CRITICAL,1,0.79
TR_URG_00019,Nefes darlığı var. Konuşurken zorlanıyor.,synthetic_tr_final,URGENT,0,0.57
TR_CRIT_00021,"alo, komşum ağır yaralı! kan var! acil yardım!",synthetic_tr_final,CRITICAL,1,0.67
TR_URG_00020,"Ateş var, 40 derece. Nefes alırken batma hissi var.",synthetic_tr_final,URGENT,0,0.41
TR_CRIT_00022,Yaaaardım! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.77
TR_CRIT_00023,Önümde biri yere düştü ve baygın yatıyor! Hemen gelin!,synthetic_tr_final,CRITICAL,1,0.66
TR_CRIT_00024,Lütfen lütfen lütfen! Şimdi şimdi şimdi!,synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00025,Yaaaardım! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.78
TR_CRIT_00026,Göğsüm çok kötü sıkışıyor! Nefes alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.68
TR_CRIT_00027,Kalp atışım çok hızlı! nefes alamıyor! Yardım!,synthetic_tr_final,CRITICAL,1,0.78
TR_URG_00021,Alerjik reaksiyon olabilir. Yüzüm şişti. hareket edemiyor.,synthetic_tr_final,URGENT,0,0.63
TR_CRIT_00028,aciiiiil! hava alamıyorum! yardım edın!,synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00029,"Alo, komşum yere yığıldı! Baygın! Hemen ambulans gönderin!",synthetic_tr_final,CRITICAL,1,0.75
TR_CRIT_00030,"Bakar mısınız, kalp atışım çok hızlı! bilincini kaybetti! Yardım!",synthetic_tr_final,CRITICAL,1,0.81
TR_CRIT_00031,Baygın biri var! Tepki vermiyor! Hemen gelin!,synthetic_tr_final,CRITICAL,1,0.75
TR_MON_00005,Aşı ihtiyacım var mı? Tavsiye verir misin?,synthetic_tr_final,NON_URGENT,0,0.29
TR_URG_00022,Canım çok acıyor. Özellikle başımda tarafımda ağrı var.,synthetic_tr_final,URGENT,0,0.44
TR_CRIT_00032,"Şey, kan var! Babam vuruldu! Lütfen şimdi!",synthetic_tr_final,CRITICAL,1,0.72
TR_CRIT_00033,Silah var! bıçaklandı! Çok tehlikeli!,synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00034,"alo, lütfen lütfen lütfen! şimdi şimdi şimdi!",synthetic_tr_final,CRITICAL,1,0.67
TR_CRIT_00035,Yaaaardım! Çocuğum ölüyorum!,synthetic_tr_final,CRITICAL,1,0.83
TR_CRIT_00036,Hemen Hemen Hemen Hemen!,synthetic_tr_final,CRITICAL,1,0.68
TR_CRIT_00037,Yaaaardım! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.83
TR_URG_00023,"Kolumun üstüne düştüm, çok acıyor ama kanama yok.",synthetic_tr_final,URGENT,0,0.62
TR_CRIT_00038,Yaaaardım! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.68
TR_CRIT_00039,lütfen lütfen lütfen! baygın yatıyor!,synthetic_tr_final,CRITICAL,1,0.72
TR_CRIT_00040,Babam fenalaştı ve nefes almıyor! Çabuk gelin!,synthetic_tr_final,CRITICAL,1,0.73
TR_CRIT_00041,"Alo, baygın biri var! Tepki vermiyor! Hemen gelin!",synthetic_tr_final,CRITICAL,1,0.72
TR_URG_00024,hasta travma geçirdi. hareket etmekte zor nefes alıyor.,synthetic_tr_final,URGENT,0,0.63
TR_CRIT_00042,Kurtarın Kurtarın Kurtarın! Nefes alamıyorum!,synthetic_tr_final,CRITICAL,1,0.79
TR_MON_00006,"Bakar mısınız, aşı ihtiyacım var mı? Tavsiye verir misin?",synthetic_tr_final,NON_URGENT,0,0.38
TR_CRIT_00043,Doktor lazım! Annem bilincini kaybetti!,synthetic_tr_final,CRITICAL,1,0.7
TR_CRIT_00044,Silah var! nefes almıyor! Çok tehlikeli!,synthetic_tr_final,CRITICAL,1,0.77
TR_CRIT_00045,yaşlı bir kadın fenalaştı ve nefes almıyor! çabuk gelin!,synthetic_tr_final,CRITICAL,1,0.79
TR_CRIT_00046,Aciiiiil! Ölüyorummmmm!,synthetic_tr_final,CRITICAL,1,0.71
TR_URG_00025,Nefes nefes kaldım. Yardım lazım.,synthetic_tr_final,URGENT,0,0.47
TR_URG_00026,"Ateş var, 38 derece. Nefes alırken yanma oluyor.",synthetic_tr_final,URGENT,0,0.64
TR_CRIT_00047,"Bakar mısınız, nefes darlığı çok arttı! Yığıldım! Yardım edin!",synthetic_tr_final,CRITICAL,1,0.79
TR_CRIT_00048,"Şey, trafik kazası! Birçok yaralı! Ambulans lazım!",synthetic_tr_final,CRITICAL,1,0.82
TR_CRIT_00049,"Lütfen, çocuğum yanlış ilaç içti! Zehirlenmiş olabilir! Yardım!",synthetic_tr_final,CRITICAL,1,0.79
TR_URG_00027,annem başını vurdu. kanama azaldı ama ağrısı sürüyor.,synthetic_tr_final,URGENT,0,0.53
TR_CRIT_00050,nefes darlığı çok arttı! yığıldım! yardım edin!,synthetic_tr_final,CRITICAL,1,0.79
TR_URG_00028,kasığımda cok aciyo. oturmakta zorlanıyorum.,synthetic_tr_final,URGENT,0,0.45
TR_CRIT_00051,Baygın biri var! Tepki vermiyor! Hemen gelin!,synthetic_tr_final,CRITICAL,1,0.8
TR_CRIT_00052,"şey, doktor lazım! eşim bilincini kaybetti!",synthetic_tr_final,CRITICAL,1,0.75
TR_CRIT_00053,Nefes darlığı cok arttı! Yığıldım! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.73
TR_CRIT_00054,"Merhaba, bir kadın kan kusuyor! Çok kötü durumda! Acil yardım!",synthetic_tr_final,CRITICAL,1,0.84
TR_CRIT_00055,"Merhaba, nefes alamıyorum Nefes alamıyorum Nefes alamıyorum!",synthetic_tr_final,CRITICAL,1,0.74
TR_URG_00029,Yaşlı bir adam fenalaştı. Şu an oturuyor ama iyi görünmüyor.,synthetic_tr_final,URGENT,0,0.56
TR_CRIT_00056,"Merhaba, eşim fenalaştı ve nefes almıyor! Çabuk gelin!",synthetic_tr_final,CRITICAL,1,0.66
TR_CRIT_00057,İmdaaat! Hava alamıyorum! Yardım edin!,synthetic_tr_final,CRITICAL,1,0.78
TR_URG_00030,Zehirlenmiş olabilir. Kontrol istiyorum.,synthetic_tr_final,URGENT,0,0.55
TR_CRIT_00058,hemen hemen hemen! kalp atışı yok!,synthetic_tr_final,CRITICAL,1,0.67
TR_URG_00031,Canım çok acıyor. Özellikle karnımda tarafımda ağrı var.,synthetic_tr_final,URGENT,0,0.56
TR_URG_00032,yaşlı bir adam fenalasti. şu an oturuyor ama iyi görünmüyor.,synthetic_tr_final,URGENT,0,0.58
TR_CRIT_00059,"Şey, kalp atışım çok hızlı! bilincini kaybetti! Yardım!",synthetic_tr_final,CRITICAL,1,0.72
TR_CRIT_00060,Kan var! Çocuğum nefes almıyor! Lütfen acil!,synthetic_tr_final,CRITICAL,1,0.69
TR_URG_00033,Göğsümde baskı var. Nefes darlığı başladı.,synthetic_tr_final,URGENT,0,0.44
TR_CRIT_00061,Babam ağır yaralı! Kan var! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.79
TR_MON_00007,"Lütfen, aşı ihtiyacım var mı? Tavsiye verir misin?",synthetic_tr_final,NON_URGENT,0,0.37
TR_MON_00008,Ayağımı biraz burktum. Üstüne basabiliyorum.,synthetic_tr_final,NON_URGENT,0,0.18
TR_MON_00009,Bugün biraz yorgunum. Uykusuzluktan olabilir.,synthetic_tr_final,NON_URGENT,0,0.12
TR_CRIT_00062,Kaaaaan! Çoooook kan!,synthetic_tr_final,CRITICAL,1,0.76
TR_CRIT_00063,Trafik kazası! Birçok yaralı! Ambulans lazım!,synthetic_tr_final,CRITICAL,1,0.8
TR_CRIT_00064,Doktor lazım! Bir kadın bilincini kaybetti!,synthetic_tr_final,CRITICAL,1,0.69
TR_CRIT_00065,lütfen lütfen lütfen! şimdi şimdi şimdi!,synthetic_tr_final,CRITICAL,1,0.66
TR_CRIT_00066,"alo, önümde biri yere düştü ve baygin yatıyor! hemen gelin!",synthetic_tr_final,CRITICAL,1,0.67
TR_URG_00034,"Lütfen, canım çok acıyor. Özellikle göğsümde tarafımda ağrı var.",synthetic_tr_final,URGENT,0,0.65
TR_URG_00035,"Kolumun üstüne düştüm, çok acıyor ama kanama yok.",synthetic_tr_final,URGENT,0,0.42
TR_CRIT_00067,Bir kadın ağır yaralı! Kan var! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.83
TR_CRIT_00068,"Merhaba, nefes alamıyorum Nefes alamıyorum Nefes alamıyorum!",synthetic_tr_final,CRITICAL,1,0.66
TR_URG_00036,Göğüs ağrısı var. Hava almakta zorluk çekiyorum.,synthetic_tr_final,URGENT,0,0.49
TR_CRIT_00069,Aciiiiil! Komşum ölüyorum!,synthetic_tr_final,CRITICAL,1,0.7
TR_MON_00010,"Bakar mısınız, kolumda hafif ağrı var. Kas krampı olabilir.",synthetic_tr_final,NON_URGENT,0,0.38
TR_CRIT_00070,Annem kan kusuyor! Çok kötü durumda! Acil yardım!,synthetic_tr_final,CRITICAL,1,0.74
TR_URG_00037,Nefes nefes kaldım. Yardım lazım.,synthetic_tr_final,URGENT,0,0.5
TR_CRIT_00071,"Çocuğum morardı, nefes alamıyor, çok acil yardım lazım.",synthetic_tr_final,CRITICAL,1,0.81
TR_URG_00038,Kasığımda çok acıyor. Oturmakta zorlanıyorum.,synthetic_tr_final,URGENT,0,0.55
TR_CRIT_00072,Babam fenalaştı ve nefes almıyor! Çabuk gelin!,synthetic_tr_final,CRITICAL,1,0.79
TR_URG_00039,Arkadaşım başını çarptı. Kan fışkırıyor. Hemen gelmesini istiyorum.,synthetic_tr_final,URGENT,0,0.62
TR_URG_00040,"Bir kişi baygın gibi oldu, kısa süre sonra kendine geldi ama kötü durumda.",synthetic_tr_final,URGENT,0,0.47
TR_URG_00041,Başım çok acıyor. Gözüm kararıyor. Çok kötüyüm.,synthetic_tr_final,URGENT,0,0.5
