case_id,source,text_en,label_category_gold,label_triage_gold,red_flags_gold,input_quality,deaths,potential_death,false_alarm,state,date,sample_weight
911_1,kaggle_911,"Drive. I Willl transporting victim to North Hollywood. Medical center. Hey, North Hollywood unit wringer. 5026 Lancer Boulevard at New Wave, Communications incident 1464. 59 of 13 cancel the outside unit, uh, yield that call. 683 measure. 1 879 839, cancel the call in Riverside Drive 158 13100. 40 speaking question assistance, we have a possible 211 in progress at the front of America Bank of America. We have Fired. 39 showes responding code 3. units officer needs help at the Bank of America, North of kagay also needs help Bank of America law, Canyon north of kitridge 39, ah, restaurant in code. 39 is responding code 3. We? Respond. on the Units. Respond northbound. In the back, do not touch the bank. The spokes are inside of the bank. It's a 2 of an in progress inside the bank. America. Lower Canyon, north of kitridge looks like they're inside of the bank. 83, I want 1 unit on the North side, I want a unit on the south side and I want a unit on the back if possible. 2039 is responding code 3 to Lower Canyon north of pit. Ridge. 1583, once a unit on the North side, on the south side, and on the rear. W73 will close 6 on T Canyon. Ew code, 6. L Canyon and kitridge Okay. 24, North. We want someone to position themselves safely, to watch the front door. We don't think the suspects know we are here. Is requesting a unit to safely position theirselves in front of the front door suspects. Possibly do not know. The city is there. 15, stay there. 1640 Youree location.",crime,CRITICAL,1,meaningful,2.0,1.0,0.0,California,2/97,2.0
911_2,kaggle_911,"Monday 2, 20 26th at 5, 59 p.m. spruce. Draw spruce. My Mane. Whereas Mr. Turner eighteen. Alright here, let me speak to him. She she she she talked. Okay, well I'm going to send the police to your house and find out what's going on with you. 1950 spruce. Appartment 3.",fire,CRITICAL,1,meaningful,1.0,1.0,0.0,Michigan,2/06,2.0
911_8,kaggle_911,"91, where's your emergency? Um, hello. Hellooooo is everything okay? umm, My mommy and daddy uhuh. I think there's a bullet on the floor. Did the what? And there's a there's blood coming out of my dad's mouths, and he fell off the bed. He did. Where's mommy at? I I, I don't know. What do you mean, sweetheart? I don't know. Okay, your daddy's on the floor. How old are you? I'm 5 years old and I have a dog in the house. Okay, baby. Okay, let me just tell me right over to you. Did you, did you go in your mommy and daddy's room and there's blood all over the place? Yeah. All over. There's blood on the plant and blood on the floor. Oh my goodness. And you have your little doggie with you and 3 cats, love it and you get some cats too. Hey cats, 1 dog. Okay, are you the only are you the only 1 there? Just like Mommy and Daddy said Mommy and Daddy and they didn't even answer. Okay. Okay? What I want you to do, honey. I want you to stay on the phone with me. What is your name? that's a very pretty name, actually, it's Oh, I'm so sorry. That is a beautiful name. What's your doggy's name Leeza? Okay. And what made you wake up tonight? Okay. And what made you wake up tonight? Their was. I think I had a gunshot. You heard, ahh? Gone. Yes, it I see a bullet laying on the floor. I think it's a bullet, really. Who has a Gunn in the house. I don't see. It come back scared. Oh sweetheart. I will not let anything happen to you. Can you send? Is that what you said? I promise I will.",crime,CRITICAL,1,meaningful,2.0,1.0,0.0,Florida,3/05,2.0
911_10,kaggle_911,"Ma'am, my pickup was stolen. I had to go find it. Please help us. My girlfriend is really freezing cold. We can't get out of here. You can't get out of here. We can't get out. We don't know if we They don't speak English or anything. They don't talk to us. Go ahead. Sew somebody's locked. You in this building know but we don't know if They? And if we kill the block from getting out of this building, I'm walking I cannot guarantee. It will make it before we freeze. She I guarantee she can't she pissed me. So you're at 76 and poppa you don't have to walk very far to get some More. Okay. It's not like you're in the middle of nowhere. Yeah. But we're a good quarter. Mile from maybe a quarter mile from 75th that's all I'm saying. Can you please just go in a little bit know? I can't help you if you're not going to have yourself, okay?",other,CRITICAL,1,meaningful,2.0,1.0,0.0,Nebraska,1/05,2.0
911_12,kaggle_911,"911. What is your emergency? Hang on, hang on, hang ANH. Medical emergency 581 Eagle gloves. Ma'am, ma'am. I'm trying to get What's going on, man? I don't want to know medical emergency 58, 238 128, Linda Vista and willowbrooke. Attention 901. Medical emergency. 01, Eagle Drive box, 238, South Street, Linda Vista Road. Come out. 232. On the phone, ma'am. I need you to calm down and talked to me. 5801 Eagles. Ma'am. Ma'am. Listen listen to me, I need you to oh my god. Do you take the radio? Clip? Ma'am. I need you to. I need you to talk to me. That. Ma'am, I can't understand you. You're going to have to slow down, calm down, and talked to me. What is going on? I just sleeping. I woke up. I to the Dad. Oh my God. Oh my God. That this is not 1. Hold on, honey. Oh my God. Oh my God. Oh my God. Ma'am. Who's there with you? Ma'am. What is there anybody? In the house if I do and your children. Okay. How many little boys is? It 2, boys? Listen to me. Calm down. Calm down. Gogh ahead. 801 Eagle Drive, 5801 Eagle Drive. Going to be in. When are they going to be here? Ma'am. They're on their way. Oh my God. Ma'am. How old are your boys? What, how old are you boys? Know? Oh my God, come down, can you? Is your name Dolly? Yes your husband's name Darren. Yes please hurry father second forever. Nobody in your head. There was you don't know who did this. My baby. They left the knife, there's a knife, don't touch anything. I don't know. Listen, there's a police officer at your front door.",crime,CRITICAL,1,meaningful,2.0,1.0,0.0,Texas,6/96,2.0
911_13,kaggle_911,"911 emergency police department, 15th Street. What's going on there ma'am, we have a kidnapping. Hi, please explain to me what's going on. Okay sir we have a there's a note left in our garbage on a note. Left and your daughter is gone. How old is your daughter? She's gone. She's old. How long ago was it? I don't know. I just found the notes and my daughter's kids are saying the checkered. How much does it say in the tender? I don't know. There's, there's a ransom note here. It's a ransom though. It says it's BTC victory. Please. Okay. What's your name? Are you actually? Okay, I'm sending an officer over. Okay, do you know how long she's been gone? Know, I don't Please, we just got off and she went here. Oh my God, please. Okay, this is somebody I am. Honey, please take a deep breath. Catching catching catching catching.",other,CRITICAL,1,meaningful,1.0,1.0,0.0,Colorado,12/96,2.0
911_15,kaggle_911,"Sunday, 1 7 2007 at 0 7 0 3. 1. How may I help you? Um, I'm down Pearson and I just killed 2 people. Who did you kill? Ugh. Matthew naegle and, uh, and uhh, This is Nagel. I guess. Okay, where are you at right now? I am at. 21 know, 2901 North K Street and how did you kill them? Are thay there, too. Naught anymore. Oh, The, the hair physically. But they're not here. Yeah, spiritually. Their their bodies are there. Yeah. Who are they to you? Who are they to me? Know 1, what's your name? My name is Joan Peterson. Peterson, what's your? First named. Joane. No Joan Peterson, Joan c o a n. What how do you spell your first name? How are you spelling for Dylan Dylan? And what's your middle initial Dillon R and your date of birth. Killed 2 people. What's your date of birth dhillon? Come on. Dillon, how old are you? just, the lights on. Get them here. Okay, where are you at in the house? Front door. Where's the knife at? Where's the knife at? I don't know. Okay. Dillon, tell me where the knife is at, you know, where That know a knife, I'll look for it. No, I don't want you to get it. I want you to tell me where it's at in the house. I'm I umm, Know. I don't do people. It's awful why they do tell them why. Wwhy. Do you live there? Know. Okay, how did you get into their housed? Fill that in. Really know. Come Ahn. I killed 2 people. I understand that Donne. You got that? Yes, I killed 2 people. I killed them. Why did you kill them? Why? Yes.",crime,CRITICAL,1,meaningful,2.0,1.0,0.0,Washington,1/07,2.0
911_16,kaggle_911,"What is your emergency ambulance? The police officer. Okay, you need a police officer? Yeah. What? Reserved, 118 CC. okay, 18 Yeah. Hold on, just 1. Second, did you also say you needed an ambulance? Yes, we have a woman here. I don't know if she's breathing or not. Yeah, what I can see at the reserved 118 CC Charlie Charlie. Okay. I just want to give a phone call, you don't know which fingerprints are on their stuff. Okay, it's a patient breathing. Know. It's like there's ah, sexual crime. Okay. Is anyone doing wcpr know? She's blue. She's Okay. It's very, she's pretty cold. Okay, all right, hang on. 1 moment with me, okay? I don't know where a phone is. You don't know where Herr phone is. Yes. Named Reserve Boulevard. To University. Next to University Village. Okay? Yes, the reserved. Okay. What's your name? Do you know this lady? Yeah. Okay. What's her name? Tiffany sours. You know how she feels her last name. That's all you are e. S stand by s o. You we are s. O u e. R es. Okay. How old is she? Do you know 19 years old? 20, 20 years old. Okay, did somebody live width? Okay, so we're going to get up the Medics have been notified and we've also notified Central PD. Thank you. Okay, is your okay and And you and this store just walked in and found her. Is that right? I'm sorry. Say again. Okay, who's the lady with you guys? Just walked in and found her like this. Yeah. Okay. Where is she at in the house? She's in her bedroom. She's in the bedroom. Okay.",crime,CRITICAL,1,meaningful,1.0,1.0,0.0,South Carolina,5/06,2.0
911_17,kaggle_911,"Hi, Virginia 911. What is the location of your emergency? Yeah, we got a fire down here at uh on Route 7 right here at Abbington. About 7 and a half road. Yeah, right down below in the khamis funeral home. And what's on fire? Yeah, their kids in the house in here. The house is on fire. The house is on fire people's in there. Dear, okay. Do you see flames and smoke? Yeah, so I ain't smoke. You know, if it was hot or hot, come on please. All right, all right. Do you have? Um, a direct address. Yes. Do you have a direct address? I don't know, the address is right down below because this is home, huh? See Y'all. Now The Kids Ain't yelling know more. And you said Flames are visible. Yeah. Flames are is hard. Yeah, smoked is rolling out of the house. Is it on the second? Yes, please here. Okay, somebody's dispatching, the fire department. Try to enter yourself. Okay? Yes, Do not go in there yourself and let any other bystanders go in, okay? Okay. And if anything changes, I want you to call me back immediately. They said, don't do nothing. All right, call me back immediately. 911 we can't get in there. That is smart. So, is there any way that you can get me an address, okay? So we can get the fire department right there. Do you see a mailbox? Yeah, I'm calling. What's the address here? Dear? I don't know if it's. Alright. It's alright. It's got to let in the comments, huh? You there. What is it? 3401 3401 Philadelphia Road. Yeah. Okay. All right.",fire,CRITICAL,1,meaningful,5.0,1.0,0.0,Maryland,1/07,2.0
911_18,kaggle_911,"San Antonio 911. What's your emergency? I am my little boy 7. Uh I need an EMS. Don't hang up sir. You have reached the fire and EMS departments. Is are currently handeling, another emergency call. Rentals. They won't see EMS. Please continue to hold. You have reached the fire and EMS Department. representatives are currently handling another emergency Please continued to hold. You have reached the fire and EMS Department. All our representatives are currently handling. Another emergency call. Please continued to hold. You have reached the fire and EMS Department. All our representatives are currently handling. Another emergency call. Please continued to hold. Four. You have reached the fire and EMS Department. All our representatives are currently handeling. Another emergency call. Please continued to hold. Plus our board. You still there, sir. You have reached the fire and EMS departments. All our representatives are currently handeling. Another emergency call. With staff. Okay, stay on the line with you. You have reached the fire and EMS Department. Caller representatives are calling in handling, another emergency call. They are me on hold. Having a seizure stay on the line. Oh my God. What are we supposed to do, huh? Stay on the line. Ma'am, I'm getting em for you. Yeah, but he's having a fever we need help. Now, all our representatives are currently operating on the other line emergency calls, they have me on, hold. Four. Please continued to hold.",medical,CRITICAL,1,meaningful,0.0,1.0,0.0,Texas,2/07,2.0
911_19,kaggle_911,"911, what is the address of the emergency? I don't know. But you are fine to have in place to drive. Then you take the left at that light and where are you? I don't know. This is, are you in Loveland? No birthday. Okay, take a left. Okay. So you're off of Spartan Avenue. Yeah. Okay. By birth of high school. Yeah, they take the left. Okay. Right down. You can't go straight. I'm already take a left. I don't know. And what is the problem? Tell me. Exactly what happened. Correct, this is serious. Okay, and it has injuries. Yeah. Is it on the corner there know. It's on the street. Okay, how many vehicles are there? 3? Is there anybody pinned? No. Okay, okay we will get them going. So is there confirmed injuries? Yeah, I promise man, please. Okay they're already on the way they'll be there. Shortly. Thank you. Bye. We were on our way to somebody's house. Okay, where are you at right now? Guise. Where are we at? 2 of our guys aren't losing, but there's no reason somebody just hold us. Okay, I need to know where you're Before I can get anybody to you, where are we guys? Center. Where are we? Take your ass coming off. His Front Avenue we're on the hill. You're where? Going off to Garden Avenue on our way to landline, are you? Cool. Yeah. We're at, we're at high, okay? And and And tell me the conditioned of everybody. Or hurt. Something. I think. Okay. Stop stop, stop, stop. How many people are hurt. Um, 2 of them are moving. There's a they're not.",other,CRITICAL,1,meaningful,0.0,1.0,0.0,Colorado,1/07,2.0
911_20,kaggle_911,"Are you out of the house yet? Know. All right, get out of the house. We can't there's there's nothing open. If I open the door too much smoke. Okay 1. All right. What's your name? What's your name Quick? Alicia Frey. All alright. Try to get out of the house, if you can. You still there? Yes. Okay, I'm going to stay on the phone with you. All right. Okay, I'll find true crap. Okay, honey. Where are you on? The first floor of second floor? We're in the house. Are you second floor? You're on the second floor. Yes. Okay. If I'm looking at your house, are you on you're going to be on the left or the right side. I'm on tha. Umm, I'm all the way at the top. You're all the way at the top, okay. You have on the second floor. If I come up your stairs, honey. Which way do I turn to get to you? Um, you're upstairs. I'm in the room. This has the door closed. You're in the room that has a door closed. All the other rooms have doors open. Yes. Okay. Can you get to a window and open your window? Yes. Is the window open now? Yes. Can you see? Is it in the front of the house? The back of the house, I'm in the back. I'm like on the side of the house which sighed, if I'm looking at your house for the front area, the right? Or the left side. Sweetie, I'm on the right. Okay, hold on. 1 second. Y'all be careful the baby. Okay ma'am. I Okay, hHow many people in the room. 1 2 3, 4 5, 5 5. We got 5 people in the room. Yes.",fire,CRITICAL,1,meaningful,0.0,1.0,0.0,Maryland,2/07,2.0
