case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold
crime_nu_tr_0099,"Kayip cocuk mahallede, genclerden biri ama tehlikede degil, evinden kactim diye duyuyorum.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0262,"Graffiti on the building wall, should I file a report?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0161,"Sokagima yanlis park etmis bir araba var, birkac gundur duruyor.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0181,"A car is wrongly parked on my street, been there a few days.",crime_synthetic_v1,crime,NON_URGENT,0
crime_cr_tr_0046,"Cinayete tanik oldum az once, adam kacti!",crime_synthetic_v1,crime,CRITICAL,1
crime_ur_en_0099,"Suspicious car outside my shop, two people sitting and waiting. I'm safe with others around.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0243,"Kayip bir kopek buldum mahallede, kimsenin degil gibi. Ne yapmaliyim?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0163,"Kayip bir kopek buldum mahallede, kimsenin degil gibi. Ne yapmaliyim? Yanimdakilerle guvendeyim.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0174,"Esya bilmeyen birine vermis komsum, geri almak istiyor ama zor durumda. Hukuki danismanlik mi?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0288,"Eve gelince kapi aralik buldum, icerde bir sey eksik degil ama tutunmali miyim?",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_en_0182,"Someone's knocking on my door persistently, I don't know them. They're waiting. Just sharing info.",crime_synthetic_v1,crime,URGENT,0
crime_nu_en_0156,"Someone being cruel to dogs in the park, should I call animal welfare?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0213,Caddede bir araba saatlerce motor calistiriyor bos. Ihbarlamali miyim?,crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0045,"Komsularim konustular biraz, sesli oldu ama fiziksel kavga yok.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0098,"Kirlicam var, kiraci tasinmadi ve odeme yapmiyor. Dava acacam. Acil degil tabii.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0093,Caddede bir araba saatlerce motor calistiriyor bos. Ihbarlamali miyim?,crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0263,"Found a lost dog in the neighborhood, doesn't seem to belong to anyone.",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_en_0159,"Separated from my spouse, he's now waiting in a car outside, not moving. I'm safe with others around.",crime_synthetic_v1,crime,URGENT,0
crime_nu_en_0078,"Tenant didn't move out and not paying rent, I'll sue.",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_tr_0009,"Dukkanda hirsiz gibi birisi gordum ama kacti, takip etmeye mi devam edeyim?",crime_synthetic_v1,crime,URGENT,0
crime_nu_en_0061,"A car is wrongly parked on my street, been there a few days. I'm safe with others around.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0009,"Apartmanda asansorde bilinmeyen biri vardi, cekiciydi. Ihbar edeyim mi?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0030,"Heavy water running sound from a window, should I check the water bill?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0178,"Kirlicam var, kiraci tasinmadi ve odeme yapmiyor. Dava acacam. Bilgi vermek istedim.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0127,"Arabamin aynasini kirmisler park halindeyken, gece. Bildirmem lazim.",crime_synthetic_v1,crime,NON_URGENT,0
crime_cr_tr_0043,"Cocuk kaciriliyor parkta, adam cekti aldi! Hemen!",crime_synthetic_v1,crime,CRITICAL,1
crime_cr_en_0055,"Hostage situation at home, my family is here with me!",crime_synthetic_v1,crime,CRITICAL,1
crime_ur_tr_0144,"Maddi siddet olmadi ama evde kavga cikti, komsum ben arandim galiba.",crime_synthetic_v1,crime,URGENT,0
crime_cr_en_0098,"My 5-year-old son is missing, last seen 2 hours ago! Please search everywhere!",crime_synthetic_v1,crime,CRITICAL,1
crime_ur_tr_0094,"Benzin istasyonunda kavga var iki kisi, ayrisirmis ama taraflar hala bagirisiyor.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0042,"Binanin duvarina grafiti yapmislar, tutanak tutulmali mi? Acil degil tabii.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0204,"Esya hirsizligi oldu evden, bir hafta oncesinden. Simdi belediyeye mi? Hangi birime bildirmeli?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0132,"Komsumdan horoz sesi geliyor her sabah, kurallara aykiri galiba.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0265,"Neighbors had a loud argument, no physical fight.",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_en_0137,"Traffic accident, no injuries apparent but the other car fled.",crime_synthetic_v1,crime,URGENT,0
crime_cr_en_0054,"I hear gunshots outside, someone dropped to the ground!",crime_synthetic_v1,crime,CRITICAL,1
crime_ur_en_0134,"A man threatened me violently on the street, no blows landed.",crime_synthetic_v1,crime,URGENT,0
crime_cr_tr_0004,"Silah sesi duyuyorum sokakta, bir kisi yere yigildi gibi!",crime_synthetic_v1,crime,CRITICAL,1
crime_nu_en_0022,"Graffiti on the building wall, should I file a report?",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_tr_0063,"Alis veris merkezinde bir adam cocugu izlemeye devam ediyor, aile degil gibi. Acil degil tabii.",crime_synthetic_v1,crime,URGENT,0
crime_ur_en_0100,"Nothing is missing but my door was open when I got home, where should I check? Not urgent of course.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0253,Caddede bir araba saatlerce motor calistiriyor bos. Ihbarlamali miyim?,crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0091,"Sokakta dilenciler var surekli, rahatsiz ediyor ama siddet yok.",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_en_0078,"A man threatened me violently on the street, no blows landed. I'm safe with others around.",crime_synthetic_v1,crime,URGENT,0
crime_nu_en_0234,"Neighbor gave belongings to wrong person, wants them back, legal advice?",crime_synthetic_v1,crime,NON_URGENT,0
crime_cr_tr_0083,"Cocuk kaciriliyor parkta, adam cekti aldi! Hemen!",crime_synthetic_v1,crime,CRITICAL,1
crime_cr_tr_0048,"Oglum kayboldu, 5 yasinda, son 2 saat oldu! Lutfen her yeri arayin!",crime_synthetic_v1,crime,CRITICAL,1
crime_nu_tr_0096,"Parkta birisi kopeklere kotu davraniyor, hayvan koruma mi arayayim?",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_tr_0008,"Bir kisi kavga etti benimle sokakta, siddetle tehdit etti ama darpe olmadi. Hangi birime bildirmeli?",crime_synthetic_v1,crime,URGENT,0
crime_ur_en_0014,"Someone's knocking on my door persistently, I don't know them. They're waiting. I'm safe with others around.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0218,"Kirlicam var, kiraci tasinmadi ve odeme yapmiyor. Dava acacam. Polis arasak mi?",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_en_0161,"A man at the mall keeps watching a child, doesn't look like family.",crime_synthetic_v1,crime,URGENT,0
crime_nu_en_0197,"Street dog hanging around our building, not threatening. Municipality? Not urgent of course.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0284,"Esya hirsizligi oldu evden, bir hafta oncesinden. Simdi belediyeye mi? Bilgi vermek istedim.",crime_synthetic_v1,crime,NON_URGENT,0
crime_cr_en_0058,"My 5-year-old son is missing, last seen 2 hours ago! Please search everywhere! I'm safe with others around.",crime_synthetic_v1,crime,CRITICAL,1
crime_ur_en_0077,"A man at the mall keeps watching a child, doesn't look like family. Not urgent of course.",crime_synthetic_v1,crime,URGENT,0
crime_ur_tr_0093,"Dukkanda hirsiz gibi birisi gordum ama kacti, takip etmeye mi devam edeyim?",crime_synthetic_v1,crime,URGENT,0
crime_ur_tr_0013,"Cantasi icinde ilaclari vardi, calindi sanirim otobuste. Onemli ilaclar.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0088,"Eve gelince kapi aralik buldum, icerde bir sey eksik degil ama tutunmali miyim? Yanimdakilerle guvendeyim.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0145,"Neighbors had a loud argument, no physical fight.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0291,"Sokakta dilenciler var surekli, rahatsiz ediyor ama siddet yok.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0172,"Komsumdan horoz sesi geliyor her sabah, kurallara aykiri galiba.",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_en_0128,"Nothing is missing but my door was open when I got home, where should I check?",crime_synthetic_v1,crime,URGENT,0
crime_ur_tr_0175,"Alis veris merkezinde bir adam cocugu izlemeye devam ediyor, aile degil gibi.",crime_synthetic_v1,crime,URGENT,0
crime_ur_tr_0174,"Oglum okuldan henuz donmedi, zamanindan bir saat gec. Endiseliyim.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0005,"Komsularim konustular biraz, sesli oldu ama fiziksel kavga yok.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0104,"Theft happened a week ago at my house, should I call now or go to a station?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0103,"Found a lost dog in the neighborhood, doesn't seem to belong to anyone. Not urgent of course.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0223,"Found a lost dog in the neighborhood, doesn't seem to belong to anyone.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0036,"Someone being cruel to dogs in the park, should I call animal welfare?",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0144,"Theft happened a week ago at my house, should I call now or go to a station? Should we call police?",crime_synthetic_v1,crime,NON_URGENT,0
crime_cr_en_0033,"A child is being abducted in the park, a man grabbed them! I'm safe with others around.",crime_synthetic_v1,crime,CRITICAL,1
crime_ur_tr_0149,"Dukkanda hirsiz gibi birisi gordum ama kacti, takip etmeye mi devam edeyim?",crime_synthetic_v1,crime,URGENT,0
crime_ur_tr_0178,"Benzin istasyonunda kavga var iki kisi, ayrisirmis ama taraflar hala bagirisiyor.",crime_synthetic_v1,crime,URGENT,0
crime_nu_tr_0255,"Park ucuz carpisma olmus, kimse yaralanmamis, belgelemek icin gerek var mi polis? Hangi birime bildirmeli?",crime_synthetic_v1,crime,NON_URGENT,0
crime_ur_tr_0056,"Kapimda israrla birisi kapi caliyor, tanimiyorum. Bekliyor gidemiyorum.",crime_synthetic_v1,crime,URGENT,0
crime_ur_tr_0035,"Alis veris merkezinde bir adam cocugu izlemeye devam ediyor, aile degil gibi.",crime_synthetic_v1,crime,URGENT,0
crime_nu_en_0100,"Noise complaint about my neighbor, past 10pm. Not saying come out, just a warning.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_tr_0206,"Disarda birkac genc aglaniyor ama tehditkar gibi degil, sadece gurultulu. Acil degil tabii.",crime_synthetic_v1,crime,NON_URGENT,0
crime_nu_en_0224,"Theft happened a week ago at my house, should I call now or go to a station? Not urgent of course.",crime_synthetic_v1,crime,NON_URGENT,0
