id,file_name,title,date,state,civilian_initiated,deaths,potential_death,false_alarm,text_raw,text_clean,label_category_suggested,label_triage_suggested,red_flags_suggested,category_hits,triage_hits,suggestion_confidence,label_category_gold,label_triage_gold,red_flags_gold,reviewed_by,review_notes
1,call_1.mp3,North Hollywood bank robbery,2/97,California,0.0,2.0,1.0,0.0,"North Hollywood bank robbery – The unforgettable collection of radio logging tapes from the 1997 violent robbery of the Bank of America in Los Angeles. The radio traffic begins routinely, then an officer passing the bank notices the robbers and radios in “shots fired.” Then all breaks loose.","north hollywood bank robbery – the unforgettable collection of radio logging tapes from the 1997 violent robbery of the bank of america in los angeles. the radio traffic begins routinely, then an officer passing the bank notices the robbers and radios in “shots fired.” then all breaks loose.",fire,CRITICAL,1,fire,,0.99,fire,CRITICAL,1,,
2,call_2.mp3,Detroit Child’s 911 Call – audio,2/06,Michigan,1.0,1.0,1.0,0.0,"Detroit Child’s 911 Call – audio – In Feb. 2006 5 year-old Robert Turner called to say his mother was unconscious. However, dispatcher Sharon Nicols believed it was a prank call. Nicols and another dispatcher were later fired, and Nicols was charged with criminal neglect of duty. She was later convicted, but granted probation. Also isten to the second","detroit child’s 911 call – audio – in feb. 2006 5 year-old robert turner called to say his mother was unconscious. however, dispatcher sharon nicols believed it was a prank call. nicols and another dispatcher were later fired, and nicols was charged with criminal neglect of duty. she was later convicted, but granted probation. also isten to the second",fire,CRITICAL,1,fire,unconscious,0.99,fire,CRITICAL,1,,
3,,Sept. 11th Fire Tapes,9/01,,,,,,Sept. 11th Fire Tapes,sept. 11th fire tapes,fire,URGENT,0,fire,,0.6,fire,URGENT,0,,
4,,Sept. 11th Fire Tapes #2,9/01,,,,,,Sept. 11th Fire Tapes #2,sept. 11th fire tapes #2,fire,URGENT,0,fire,,0.6,fire,URGENT,0,,
5,,Sept. 11th Tape Archive,9/01,,,,,,Sept. 11th Tape Archive,sept. 11th tape archive,other,URGENT,0,,,0.35,other,URGENT,0,,
6,,Wheel of Fortune!,,,,,,,Wheel of Fortune! – fun video clip from the quiz show,wheel of fortune! – fun video clip from the quiz show,other,URGENT,0,,,0.35,other,URGENT,0,,
7,,Wacky 911 CDs,,,,,,,Wacky 911 CDs,wacky 911 cds,other,URGENT,0,,,0.35,other,URGENT,0,,
8,call_8.mp3,Girl’s Murder 911 Call,3/05,Florida,1.0,2.0,1.0,0.0,"Girl’s Murder 911 Call – the 911 call of a lifetime. Volusia County (Fla.) dispatcher Donna Choufani talks to 5 year-old Tia Hernlen, who calmly reports her two parents shot to death. Also check this","girl’s murder 911 call – the 911 call of a lifetime. volusia county (fla.) dispatcher donna choufani talks to 5 year-old tia hernlen, who calmly reports her two parents shot to death. also check this",crime,CRITICAL,1,"shot, murder",,0.99,crime,CRITICAL,1,,
9,call_9.mp3,‘Shoot Her?’ 911 call,4/05,Texas,1.0,0.0,0.0,1.0,"‘Shoot Her?’ 911 call – caller reports her daughter is creating a disturbance at home, and the dispatcher makes an inappropriate comment","‘shoot her?’ 911 call – caller reports her daughter is creating a disturbance at home, and the dispatcher makes an inappropriate comment",other,NON_URGENT,0,,,0.55,other,NON_URGENT,0,,
10,call_10.mp3,Snowstorm 911 Call,1/05,Nebraska,1.0,2.0,1.0,0.0,Snowstorm 911 Call – a couple under the influence of drugs dialed 911 after their truck ran into a snowdrift outside Omaha (Neb.) in Jan. 2005. Janelle Hornickel and Michael Wamsley were disoriented and couldn’t give their location. Their bodies were found days later in the snow.,snowstorm 911 call – a couple under the influence of drugs dialed 911 after their truck ran into a snowdrift outside omaha (neb.) in jan. 2005. janelle hornickel and michael wamsley were disoriented and couldn’t give their location. their bodies were found days later in the snow.,other,CRITICAL,1,,,0.8,other,CRITICAL,1,,
