case_id,text_en,source,label_category_gold,label_triage_gold,red_flags_gold
ambig_en_0042,"Minor car accident, my neck hurts but I can walk.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0114,"Cut my hand, still bleeding. Wrapped it but soaking through. I don't know how to get to the hospital.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0259,"I'm pregnant, lower abdominal cramps. No bleeding but worried. Should I call an ambulance?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0079,"Yuksek ateste titreme basladi, hafif unutkanlik hissediyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0075,"A young man is lying on the ground, conscious but not talking clearly.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0185,"Yuksek ateste titreme basladi, hafif unutkanlik hissediyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0167,"Never felt pain like this, under the right chest. Worse on breathing. Will my medication work or should we not wait?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0024,"Genc bir adam, yerde yatiyor, bilincli ama konusamiyor gibi. Oglumu goturmeli miyim acile?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0068,Cocugum yanlislikla ilac yutmus olabilir. Uyanik ama uykulu. Ambulans mi cagirayim?,ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0105,"Sirtim kitlendi, hareket edemiyorum ama kan akisi var. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0119,"Araba ile hafif bir kaza, boynum agriyor, yuruyebiliyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0397,Bas donmesi ve kusma var. Ayakta duramiyorum neredeyse.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0383,"Kolumda kesik var, kanama hafif ama derin gibi. Dikis gerekebilir. Bir sure gozlemlemeli miyim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0233,"Yasli annem dustu, ayaga kalkamiyor ama konusuyor. Kalcasi agriyor.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0223,"Severe abdominal pain on the right side, for a few hours. Should I observe for a while?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0416,"Hamileyim, alt karnimda kramp var. Kanama yok ama endiseliyim.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0394,Bas donmesi ve kusma var. Ayakta duramiyorum neredeyse.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0202,"A young man is lying on the ground, conscious but not talking clearly. I don't want to be alone at home right now.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0145,"Gogusumde baski var, sol koluma vuruyor hafif. Panik yapiyorum. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0355,"Genc bir adam, yerde yatiyor, bilincli ama konusamiyor gibi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0013,"Araba ile hafif bir kaza, boynum agriyor, yuruyebiliyorum. Ambulans mi cagirayim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0334,"Boyle bir agri ilk kez, sag gogsum altinda. Nefes alirken artiyor.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0054,"Cut my hand, still bleeding. Wrapped it but soaking through. Will my medication work or should we not wait?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0170,"My kid fell and hit his head. Cried, now calm but drowsy. I don't want to be alone at home right now.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0151,"My kid fell and hit his head. Cried, now calm but drowsy.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0061,"Bir anda bas donmesi oldu, yere oturdum. Simdi biraz iyiyim ama tekrar olabilir. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0153,"Yasli annem dustu, ayaga kalkamiyor ama konusuyor. Kalcasi agriyor. Ambulans mi cagirayim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0010,"Never felt pain like this, under the right chest. Worse on breathing. Will my medication work or should we not wait?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0259,"Atesim 38.5 derece, titremeye basladim. Bas agrim da var.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0265,"Bir anda bas donmesi oldu, yere oturdum. Simdi biraz iyiyim ama tekrar olabilir.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0271,"My fever is 38.5C, I'm shivering. Headache too.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0009,"Araba ile hafif bir kaza, boynum agriyor, yuruyebiliyorum. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0030,"I saw blood in my stool, small amount. I'm anxious. Should I observe for a while?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0173,"Yuksek ateste titreme basladi, hafif unutkanlik hissediyorum. Bir sure gozlemlemeli miyim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0212,"Atesim 38.5 derece, titremeye basladim. Bas agrim da var.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0288,"Hamileyim, alt karnimda kramp var. Kanama yok ama endiseliyim.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0031,"My kid fell and hit his head. Cried, now calm but drowsy. Should I take my son to the ER?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0007,"My fever is 38.5C, I'm shivering. Headache too.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0243,"Diskimda kan gordum, miktar az gibi. Panikliyorum. Ambulans mi cagirayim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0276,"A young man is lying on the ground, conscious but not talking clearly. I don't want to be alone at home right now.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0045,"Hamileyim, alt karnimda kramp var. Kanama yok ama endiseliyim.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0255,"Cut on my arm, bleeding is mild but looks deep. May need stitches.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0403,"Araba ile hafif bir kaza, boynum agriyor, yuruyebiliyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0004,My child may have swallowed medication by accident. Awake but drowsy. I don't know how to get to the hospital.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0248,Pressure in my chest radiating slightly to my left arm. I'm anxious.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0105,"I saw blood in my stool, small amount. I'm anxious. I don't know how to get to the hospital.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0181,"A young man is lying on the ground, conscious but not talking clearly.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0100,My child may have swallowed medication by accident. Awake but drowsy.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0273,"Kolumda kesik var, kanama hafif ama derin gibi. Dikis gerekebilir.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0407,"Diskimda kan gordum, miktar az gibi. Panikliyorum. Bir sure gozlemlemeli miyim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0233,"Burned my hand, red and blistered. Ring is stuck due to swelling.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0048,"Severe abdominal pain on the right side, for a few hours.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0085,"Cocugum dustu, kafasini carpti. Agladi, simdi sakin ama uyuklar gibi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0380,"Atesim 38.5 derece, titremeye basladim. Bas agrim da var.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0092,My child may have swallowed medication by accident. Awake but drowsy. Will my medication work or should we not wait?,ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0058,"I feel an asthma attack coming, my inhaler is not with me.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0175,"My elderly mother fell, can't stand but can speak. Her hip hurts.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0260,"Elimi kestim, hala kanamakta. Bez saridim ama hala sizar.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0270,"Sudden dizziness, had to sit down. Better now but afraid it'll recur.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0252,"Yasli annem dustu, ayaga kalkamiyor ama konusuyor. Kalcasi agriyor.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0079,"Sudden dizziness, had to sit down. Better now but afraid it'll recur. Should I observe for a while?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0252,"A young man is lying on the ground, conscious but not talking clearly.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0281,"Karnim cok agriyor, saga dogru. Birkac saattir.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0215,"Minor car accident, my neck hurts but I can walk.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0015,"Yuksek ateste titreme basladi, hafif unutkanlik hissediyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0130,"Cut on my arm, bleeding is mild but looks deep. May need stitches.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0135,"Boyle bir agri ilk kez, sag gogsum altinda. Nefes alirken artiyor.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0362,"Sirtim kitlendi, hareket edemiyorum ama kan akisi var. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0209,"My fever is 38.5C, I'm shivering. Headache too.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0198,"A young man is lying on the ground, conscious but not talking clearly.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0205,"I feel an asthma attack coming, my inhaler is not with me. Should I observe for a while?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0344,"Bir anda bas donmesi oldu, yere oturdum. Simdi biraz iyiyim ama tekrar olabilir.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0255,"Genc bir adam, yerde yatiyor, bilincli ama konusamiyor gibi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0220,"Karnim cok agriyor, saga dogru. Birkac saattir. Evde yalniz kalmayi istemiyorum simdi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0063,"Boyle bir agri ilk kez, sag gogsum altinda. Nefes alirken artiyor.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0405,Cocugum yanlislikla ilac yutmus olabilir. Uyanik ama uykulu. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?,ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0338,"Atesim 38.5 derece, titremeye basladim. Bas agrim da var. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0071,"Burned my hand, red and blistered. Ring is stuck due to swelling. I don't know how to get to the hospital.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0118,My child may have swallowed medication by accident. Awake but drowsy.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0304,"Yasli annem dustu, ayaga kalkamiyor ama konusuyor. Kalcasi agriyor. Oglumu goturmeli miyim acile?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0327,"Atesim 38.5 derece, titremeye basladim. Bas agrim da var. Evde yalniz kalmayi istemiyorum simdi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0204,"Diskimda kan gordum, miktar az gibi. Panikliyorum. Evde yalniz kalmayi istemiyorum simdi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0274,"I'm pregnant, lower abdominal cramps. No bleeding but worried. I don't want to be alone at home right now.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0162,"Yuksek ateste titreme basladi, hafif unutkanlik hissediyorum. Ambulans mi cagirayim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0239,"A young man is lying on the ground, conscious but not talking clearly.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0015,"I saw blood in my stool, small amount. I'm anxious.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0132,Cocugum yanlislikla ilac yutmus olabilir. Uyanik ama uykulu.,ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0059,"Genc bir adam, yerde yatiyor, bilincli ama konusamiyor gibi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0154,"Alerjik reaksiyon olabilir, yuzum sisiyor biraz. Nefes alabiliyorum. Ambulans mi cagirayim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0247,"Diskimda kan gordum, miktar az gibi. Panikliyorum. Oglumu goturmeli miyim acile?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0391,"Araba ile hafif bir kaza, boynum agriyor, yuruyebiliyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0330,"Atesim 38.5 derece, titremeye basladim. Bas agrim da var. Evde yalniz kalmayi istemiyorum simdi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0351,"Yuksek ateste titreme basladi, hafif unutkanlik hissediyorum. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0070,"My back locked up, can't move but circulation looks ok.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0363,"Karnim cok agriyor, saga dogru. Birkac saattir. Hastaneye nasil gidecegimi bilmiyorum.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0278,"Hamileyim, alt karnimda kramp var. Kanama yok ama endiseliyim. Ambulans mi cagirayim?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0048,"Genc bir adam, yerde yatiyor, bilincli ama konusamiyor gibi. Evde yalniz kalmayi istemiyorum simdi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0305,"Gogusumde baski var, sol koluma vuruyor hafif. Panik yapiyorum. Ilacim etkisini gosterir mi yoksa beklemeyelim mi?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0195,"My back locked up, can't move but circulation looks ok.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0158,"A young man is lying on the ground, conscious but not talking clearly. Will my medication work or should we not wait?",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0303,"Genc bir adam, yerde yatiyor, bilincli ama konusamiyor gibi. Evde yalniz kalmayi istemiyorum simdi.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0232,I have vertigo and vomiting. Can barely stand. Will my medication work or should we not wait?,ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0125,"Burned my hand, red and blistered. Ring is stuck due to swelling.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0140,"Cut on my arm, bleeding is mild but looks deep. May need stitches.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0090,"Minor car accident, my neck hurts but I can walk.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_tr_0018,"Kolumda kesik var, kanama hafif ama derin gibi. Dikis gerekebilir.",ambiguous_symptoms_v1,medical,URGENT,0
ambig_en_0022,"Possible allergic reaction, my face is swelling a bit. I can still breathe.",ambiguous_symptoms_v1,medical,URGENT,0
